大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0002	國立清華大學	220701	語言學研究所	D 日	M 碩士	41	9	16	18 新竹市	1 一般
0002	國立清華大學	220901	(歷)史學系	D 日	M 碩士	52	8	11	18 新竹市	1 一般
0002	國立清華大學	221001	人類學系	D 日	M 碩士	32	8	12	18 新竹市	1 一般
0002	國立清華大學	221101	哲學系	D 日	M 碩士	19	7	7	18 新竹市	1 一般
0002	國立清華大學	229916	亞際文化研究學位學程	D 日	M 碩士	8	0	1	18 新竹市	1 一般
0002	國立清華大學	310101	經濟學系	D 日	M 碩士	48	0	19	18 新竹市	1 一般
0002	國立清華大學	310301	社會學系	D 日	M 碩士	74	9	22	18 新竹市	1 一般
0002	國立清華大學	311019	學習科學研究所	D 日	M 碩士	36	5	16	18 新竹市	1 一般
0002	國立清華大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	56	0	12	18 新竹市	1 一般
0002	國立清華大學	340501	(計量)(數量)財務金融學系	D 日	M 碩士	56	0	22	18 新竹市	1 一般
0002	國立清華大學	349901	(商務)科技管理系	D 日	M 碩士	62	11	24	18 新竹市	1 一般
0002	國立清華大學	349951	服務科學(管理)研究所	D 日	M 碩士	53	8	17	18 新竹市	1 一般
0002	國立清華大學	380203	科技法律學系	D 日	M 碩士	110	12	17	18 新竹市	1 一般
0002	國立清華大學	420302	(自然)生物科技學系	D 日	M 碩士	65	9	25	18 新竹市	1 一般
0002	國立清華大學	420313	分子(生物)及細胞生物研究所	D 日	M 碩士	36	11	16	18 新竹市	1 一般
0002	國立清華大學	420605	生物資訊與結構生物研究所	D 日	M 碩士	48	10	24	18 新竹市	1 一般
0002	國立清華大學	429904	系統神經科學研究所	D 日	M 碩士	25	6	13	18 新竹市	1 一般
0002	國立清華大學	440101	化學系	D 日	M 碩士	183	0	61	18 新竹市	1 一般
0002	國立清華大學	440301	物理學系	D 日	M 碩士	141	0	47	18 新竹市	1 一般
0002	國立清華大學	440601	天文(物理)研究所	D 日	M 碩士	9	7	4	18 新竹市	1 一般
0002	國立清華大學	449905	先進光源科技學位學程	D 日	M 碩士	14	0	6	18 新竹市	1 一般
0002	國立清華大學	460101	數學系	D 日	M 碩士	59	0	16	18 新竹市	1 一般
0002	國立清華大學	460201	統計(科學)(資訊)學系	D 日	M 碩士	51	9	22	18 新竹市	1 一般
0002	國立清華大學	480401	資訊系統與應用研究所	D 日	M 碩士	110	0	39	18 新竹市	1 一般
0002	國立清華大學	520101	電機(與控制)工程學系	D 日	M 碩士	373	0	113	18 新竹市	1 一般
0002	國立清華大學	520103	(微)電子(工程)學系	D 日	M 碩士	183	0	60	18 新竹市	1 一般
0002	國立清華大學	520106	光電(科學與)工程學系	D 日	M 碩士	121	0	42	18 新竹市	1 一般
0002	國立清華大學	520114	資訊工程學系	D 日	M 碩士	353	0	152	18 新竹市	1 一般
0002	國立清華大學	520126	(光電與)通訊(工程)學系	D 日	M 碩士	129	0	43	18 新竹市	1 一般
0002	國立清華大學	520188	電資類產業研發專班	D 日	M 碩士	7	0	0	18 新竹市	1 一般
0002	國立清華大學	520201	(動力)機械工程學系	D 日	M 碩士	277	0	120	18 新竹市	1 一般
0002	國立清華大學	520401	化學工程學系	D 日	M 碩士	154	0	69	18 新竹市	1 一般
0002	國立清華大學	520502	材料科學(與)(工程)學系	D 日	M 碩士	233	0	101	18 新竹市	1 一般
0002	國立清華大學	520518	奈米工程與微系統研究所	D 日	M 碩士	58	0	25	18 新竹市	1 一般
0002	國立清華大學	520601	工業工程(與)(科技)(系統)(工程)(管理)學系	D 日	M 碩士	195	0	85	18 新竹市	1 一般
0002	國立清華大學	521104	生醫工程與環境科學系	D 日	M 碩士	99	0	39	18 新竹市	1 一般
0002	國立清華大學	521108	生物醫學工程學系	D 日	M 碩士	32	6	15	18 新竹市	1 一般
0002	國立清華大學	521201	工程與系統科學系	D 日	M 碩士	168	0	67	18 新竹市	1 一般
0002	國立清華大學	521202	核子工程與科學研究所	D 日	M 碩士	39	8	28	18 新竹市	1 一般
0002	國立清華大學	529928	全球營運管理學位學程	D 日	M 碩士	5	0	0	18 新竹市	1 一般
0002	國立清華大學	720107	(微免暨)分子醫學研究所	D 日	M 碩士	35	10	9	18 新竹市	1 一般
0003	國立臺灣大學	140203	華語(文)教學學系	D 日	M 碩士	57	4	5	30 臺北市	1 一般
0003	國立臺灣大學	210401	音樂學系	D 日	M 碩士	32	7	5	30 臺北市	1 一般
0003	國立臺灣大學	210501	戲劇學系	D 日	M 碩士	39	0	9	30 臺北市	1 一般
0003	國立臺灣大學	210703	藝術史學系	D 日	M 碩士	33	6	11	30 臺北市	1 一般
